feature,importance,kept,rank,pct
symptom_mild_discomfort,0.1499899930539797,True,1,15.0
symptom_shortness_of_breath,0.13071882003501312,True,2,13.07
spo2,0.11010718088576767,True,3,11.01
pain_level,0.0886076190205222,True,4,8.86
symptom_pain,0.050975587854459936,True,5,5.1
symptom_severe_chest_pain,0.04977048593724634,True,6,4.98
age,0.04762938680514475,True,7,4.76
diastolic_bp,0.04177353528795539,True,8,4.18
heart_rate,0.0402765320343431,True,9,4.03
symptom_weakness,0.03749383075632628,True,10,3.75
symptom_chest_pain,0.03729687914495432,True,11,3.73
systolic_bp,0.03584738607007676,True,12,3.58
chronic_unspecified,0.02393373407614121,True,13,2.39
temperature,0.022657383205418533,True,14,2.27
chronic_count,0.01961054934378405,True,15,1.96
previous_er_visits,0.012580274594564417,True,16,1.26
gender_2,0.011937339386447754,True,17,1.19
symptom_severe_pain,0.010469445397548523,True,18,1.05
symptom_fever,0.008136587109993832,True,19,0.81
symptom_neurological_deficit,0.007285749147641359,True,20,0.73
gender_1,0.007258736138353865,True,21,0.73
symptom_palpitations,0.007202843402217158,True,22,0.72
gender_0,0.007155048981310568,True,23,0.72
symptom_limb_pain,0.006121097036285984,True,24,0.61
chronic_cancer,0.005629615179814286,True,25,0.56
chronic_heart_disease,0.00417393623421334,False,26,0.42
symptom_swelling,0.0032491290117901165,False,27,0.32
symptom_headache,0.003187538412444875,False,28,0.32
symptom_dizziness,0.0027608784431638516,False,29,0.28
chronic_hypertension,0.0026958080478069035,False,30,0.27
symptom_fatigue,0.0016654031288662677,False,31,0.17
symptom_cough,0.0013958873330226216,False,32,0.14
symptom_mobility_limitation,0.0011673817149203485,False,33,0.12
symptom_rash,0.001084222317256038,False,34,0.11
symptom_abdominal_pain,0.0009603530612151412,False,35,0.1
chronic_osteoarthritis,0.0009261928083428314,False,36,0.09
chronic_diabetes,0.0009238394404927634,False,37,0.09
symptom_joint_pain,0.0008048154262108136,False,38,0.08
symptom_hematuria,0.0007651024497632217,False,39,0.08
symptom_weight_loss,0.0007314047077901691,False,40,0.07
symptom_stiffness,0.0006937952775845862,False,41,0.07
symptom_flank_pain,0.0006413004845322514,False,42,0.06
symptom_nausea,0.0006371054562150165,False,43,0.06
symptom_urinary_symptoms,0.0004822371184816255,False,44,0.05
symptom_increased_thirst,0.0004033625035699259,False,45,0.04
symptom_labor_pain,0.00015576626720145942,False,46,0.02
pregnant,2.890046980482365e-05,False,47,0.0
